年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2022-04-01,141003,横浜市,437.78,1772142,3768363,1859615,1908748,2.13,8608,8131,2307
2022-04-01,141011,鶴見区,33.23,146300,295712,152444,143268,2.02,8899,1015,572
2022-04-01,141020,神奈川区,23.72,131281,248192,126566,121626,1.89,10463,1189,1123
2022-04-01,141038,西区,7.03,57631,104830,52925,51905,1.82,14912,428,405
2022-04-01,141046,中区,21.50,85116,150104,76265,73839,1.76,6982,350,125
2022-04-01,141054,南区,12.65,105144,197528,98459,99069,1.88,15615,769,452
2022-04-01,141119,港南区,19.90,96717,214785,104590,110195,2.22,10793,212,-127
2022-04-01,141062,保土ケ谷区,21.93,99649,206104,100949,105155,2.07,9398,384,90
2022-04-01,141127,旭区,32.73,107484,242999,117126,125873,2.26,7424,311,-23
2022-04-01,141071,磯子区,19.05,79250,165982,81612,84370,2.09,8713,171,-136
2022-04-01,141089,金沢区,30.96,90201,196748,95602,101146,2.18,6355,277,-186
2022-04-01,141097,港北区,31.40,177746,359752,179410,180342,2.02,11457,1119,710
2022-04-01,141135,緑区,25.51,80507,182890,89826,93064,2.27,7169,333,-51
2022-04-01,141178,青葉区,35.22,134562,310676,149835,160841,2.31,8821,401,-106
2022-04-01,141186,都筑区,27.87,86589,214436,104972,109464,2.48,7694,238,-355
2022-04-01,141101,戸塚区,35.79,123729,283621,138128,145493,2.29,7925,495,24
2022-04-01,141151,栄区,18.52,53450,120451,58584,61867,2.25,6504,165,26
2022-04-01,141160,泉区,23.58,63704,151862,73545,78317,2.38,6440,200,-26
2022-04-01,141143,瀬谷区,17.17,53082,121691,58777,62914,2.29,7087,74,-210
