年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2022-02-01,141003,横浜市,437.78,1764924,3768902,1860563,1908339,2.14,8609,-1693,-3127
2022-02-01,141011,鶴見区,33.23,145414,295377,152237,143140,2.03,8889,-107,-203
2022-02-01,141020,神奈川区,23.72,130221,247268,126051,121217,1.90,10424,-166,-176
2022-02-01,141038,西区,7.03,57176,104384,52719,51665,1.83,14848,-68,-99
2022-02-01,141046,中区,21.50,84854,150175,76386,73789,1.77,6985,-23,-96
2022-02-01,141054,南区,12.65,104405,197273,98405,98868,1.89,15595,-141,-244
2022-02-01,141119,港南区,19.90,96536,215088,104826,110262,2.23,10808,-25,-134
2022-02-01,141062,保土ケ谷区,21.93,99412,206278,100999,105279,2.07,9406,-203,-353
2022-02-01,141127,旭区,32.73,107200,243179,117267,125912,2.27,7430,-54,-180
2022-02-01,141071,磯子区,19.05,79106,166174,81703,84471,2.10,8723,-50,-86
2022-02-01,141089,金沢区,30.96,90039,197169,95931,101238,2.19,6369,-367,-477
2022-02-01,141097,港北区,31.40,176763,359247,179198,180049,2.03,11441,-173,-274
2022-02-01,141135,緑区,25.51,80193,183035,89925,93110,2.28,7175,-85,-187
2022-02-01,141178,青葉区,35.22,134224,311036,150068,160968,2.32,8831,-66,-110
2022-02-01,141186,都筑区,27.87,86337,214862,105255,109607,2.49,7709,17,-29
2022-02-01,141101,戸塚区,35.79,123281,283862,138300,145562,2.30,7931,-74,-222
2022-02-01,141151,栄区,18.52,53257,120487,58691,61796,2.26,6506,-109,-126
2022-02-01,141160,泉区,23.58,63509,152024,73647,78377,2.39,6447,-5,-63
2022-02-01,141143,瀬谷区,17.17,52997,121984,58955,63029,2.30,7104,6,-68
