station_code,station_name,station_lat,station_lon
23055,愛甲石田,35.417664,139.344087
23056,青葉台,35.542931,139.517178
23057,浅野,35.497467,139.696054
23058,あざみ野,35.568707,139.553535
23059,足柄,35.272204,139.154526
23060,厚木,35.443301,139.378444
23061,穴部,35.279842,139.148887
23062,安針塚,35.286739,139.642957
23063,安善,35.499661,139.701249
23064,飯田岡,35.287813,139.139333
23065,生田,35.615007,139.54234
23066,井細田,35.269149,139.157471
23067,石川町,35.438222,139.643173
23068,石上,35.332481,139.48558
23069,いずみ中央,35.4155,139.487104
23070,いずみ野,35.429416,139.495213
23071,伊勢佐木長者町,35.441,139.632618
23072,伊勢原,35.396027,139.313508
23073,磯子,35.399865,139.617927
23074,市が尾,35.551431,139.541454
23075,井土ケ谷,35.433917,139.600926
23076,稲田堤,35.633645,139.535256
23077,稲村ケ崎,35.304262,139.522245
23078,入生田,35.240679,139.121031
23079,入谷,35.47852,139.391831
23080,岩原,35.298756,139.128888
29734,姥子,35.244537,139.005984
23081,海芝浦,35.485886,139.700249
23082,海の公園柴口,35.342093,139.6359
23083,海の公園南口,35.337206,139.632151
23084,浦賀,35.25191,139.715091
23085,江田,35.558625,139.551508
23086,江ノ島,35.310983,139.487581
23087,海老名,35.454217,139.389359
23088,海老名,35.452689,139.390915
23090,扇町,35.501356,139.722413
23091,大磯,35.311202,139.313512
23092,大川,35.495523,139.711109
23093,大倉山,35.521992,139.629865
23094,大口,35.492134,139.646142
23095,大平台,35.238622,139.073952
23096,大船,35.353813,139.531241
29733,大涌谷,35.244315,139.019984
23097,小田急相模原,35.515127,139.422604
29768,小田栄,35.514418,139.70508
23098,小田原,35.2564,139.154916
23089,追浜,35.315707,139.624902
29289,踊場,35.405891,139.518156
29314,恩田,35.545569,139.492097
23099,開成,35.326253,139.135914
23100,香川,35.356477,139.39978
23101,柿生,35.589815,139.497955
23102,花月園前,35.500383,139.673028
23103,風祭,35.246206,139.129196
23104,鹿島田,35.551322,139.675165
23105,かしわ台,35.466798,139.416107
23106,梶が谷,35.593789,139.605697
23107,片倉町,35.490189,139.606535
23108,片瀬江ノ島,35.308789,139.483498
23109,片瀬山,35.317344,139.496301
23110,門沢橋,35.406583,139.380196
23111,神奈川,35.470968,139.62709
23112,神奈川新町,35.481468,139.64006
23113,金沢八景,35.331234,139.620124
23114,金沢八景,35.331206,139.622457
23115,金沢文庫,35.342955,139.621651
23116,鎌倉,35.319095,139.550436
23117,鎌倉高校前,35.306735,139.500413
23118,上大井,35.321866,139.163635
23119,上大岡,35.409197,139.596595
29731,上強羅,35.24726,139.038093
23120,上永谷,35.401448,139.573097
23121,上星川,35.467246,139.580509
23122,上溝,35.557649,139.363301
23123,鴨居,35.510881,139.567093
23124,鴨宮,35.275815,139.180218
23125,栢山,35.310339,139.14272
23126,川崎,35.531408,139.696886
23127,川崎新町,35.518131,139.699247
23128,川崎大師,35.535714,139.725994
29629,川和町,35.528517,139.549316
23129,関内,35.445638,139.635951
23130,菊名,35.509798,139.631337
23131,岸根公園,35.495744,139.616812
23132,北鎌倉,35.337176,139.545158
23133,北久里浜,35.249105,139.686344
23213,北新横浜,35.519075,139.612922
23134,北茅ケ崎,35.339118,139.407613
29631,北山田,35.561014,139.592644
23135,衣笠,35.257353,139.661374
23136,希望ケ丘,35.460357,139.51371
23137,鵠沼,35.321482,139.482719
23138,鵠沼海岸,35.320704,139.471081
23139,久地,35.610536,139.592558
23140,倉見,35.394917,139.378503
23141,久里浜,35.233051,139.701316
23142,栗平,35.605979,139.480928
23143,黒川,35.613145,139.47079
23144,弘明寺,35.424362,139.596816
23145,弘明寺,35.422862,139.602066
22652,京王稲田堤,35.633894,139.531118
23146,京急大津,35.260992,139.695399
23147,京急川崎,35.532825,139.700941
23148,京急久里浜,35.231468,139.702177
23149,京急新子安,35.487078,139.655559
23150,京急田浦,35.300876,139.625542
23151,京急鶴見,35.507272,139.678111
23152,京急富岡,35.367063,139.629872
23153,京急長沢,35.205303,139.674098
23154,県立大学,35.269741,139.677011
29729,公園上,35.249037,139.043148
29728,公園下,35.249899,139.045647
23155,高座渋谷,35.432497,139.464883
23156,国府津,35.280815,139.212938
23157,港南台,35.375256,139.576709
23158,港南中央,35.401032,139.590846
23159,黄金町,35.43975,139.622729
23160,国道,35.500745,139.675695
23161,腰越,35.308317,139.493414
23162,小島新田,35.534714,139.747688
23163,小机,35.50852,139.600062
23164,こどもの国,35.558401,139.486375
23165,古淵,35.555984,139.419269
23166,子安,35.48494,139.645642
23167,小涌谷,35.240288,139.053231
23168,強羅,35.250899,139.048259
23169,極楽寺,35.309068,139.528438
23170,五百羅漢,35.275121,139.155692
23171,相模大塚,35.470466,139.441354
23172,相模大野,35.531904,139.437546
23173,相模金子,35.333752,139.15069
23174,相模湖,35.617195,139.188508
23175,相模沼田,35.292257,139.133916
23176,さがみ野,35.47152,139.429133
23177,相模原,35.581064,139.370995
23178,鷺沼,35.579567,139.573005
23179,桜ケ丘,35.450469,139.465632
23180,桜木町,35.450194,139.630979
23181,幸浦,35.358398,139.643621
23182,五月台,35.600119,139.49365
23183,寒川,35.367559,139.387474
23184,産業振興センター,35.353426,139.646371
23185,産業道路,35.536602,139.74041
23186,座間,35.480685,139.399941
23196,汐入,35.280212,139.661928
23197,市大医学部,35.343872,139.650121
23198,七里ケ浜,35.306206,139.509912
23195,尻手,35.531046,139.684387
23199,渋沢,35.374138,139.184519
29292,下飯田,35.403056,139.482383
23200,下曽我,35.303507,139.183411
23201,下永谷,35.402836,139.559292
23202,下溝,35.518154,139.380524
23187,社家,35.420748,139.377446
23188,宿河原,35.615286,139.579448
23189,湘南江の島,35.311928,139.48783
23190,湘南海岸公園,35.315288,139.483359
23191,湘南台,35.396196,139.466412
23192,湘南深沢,35.332954,139.518827
23193,湘南町屋,35.33787,139.522771
23194,昭和,35.506495,139.724024
23203,新大津,35.256798,139.690122
23204,新川崎,35.551377,139.671748
23205,新子安,35.487051,139.654781
23206,新芝浦,35.491635,139.700249
23207,新杉田,35.38681,139.619511
23208,新逗子,35.294736,139.580546
29479,新高島,35.461859,139.626535
23209,新松田,35.345085,139.139885
23210,新丸子,35.580597,139.661943
23211,新百合ケ丘,35.60373,139.507537
23212,新横浜,35.50741,139.617644
23214,神武寺,35.306263,139.592794
23215,杉田,35.383534,139.615872
23216,鈴木町,35.535241,139.720717
23217,逗子,35.297514,139.579545
23218,瀬谷,35.470271,139.482518
23219,センター北,35.553237,139.578479
23220,センター南,35.54546,139.574591
23221,善行,35.362783,139.473246
29732,早雲山,35.246399,139.035593
23222,相武台下,35.493406,139.386469
23223,相武台前,35.499129,139.408412
23224,田浦,35.292766,139.637541
23225,高島町,35.459081,139.62334
29633,高田,35.549627,139.620142
23226,高津,35.603537,139.617473
29291,立場,35.414501,139.500992
23227,田奈,35.536154,139.504846
23228,たまプラーザ,35.577401,139.558618
23229,反町,35.474691,139.625339
23230,大雄山,35.319114,139.10364
23234,茅ケ崎,35.330285,139.406753
23231,中央林間,35.507684,139.444603
23232,彫刻の森,35.246677,139.050759
23233,長後,35.412528,139.465521
23235,塚原,35.301255,139.126861
23236,つきみ野,35.510323,139.458046
23237,津久井浜,35.198693,139.665849
23238,辻堂,35.336841,139.447083
23239,津田山,35.60426,139.600029
29630,都筑ふれあいの丘,35.536572,139.561259
23240,綱島,35.53699,139.634946
23241,鶴ケ峰,35.475051,139.550234
23242,鶴間,35.490213,139.450853
23243,鶴巻温泉,35.381111,139.277844
23244,鶴見,35.508549,139.676028
23245,鶴見市場,35.517798,139.686609
23246,鶴見小野,35.497134,139.681055
23247,天王町,35.453943,139.60262
23248,東海大学前,35.373139,139.271262
29735,桃源台,35.237844,138.994596
23249,塔ノ沢,35.234485,139.093977
23250,十日市場,35.526266,139.516596
23251,戸塚,35.400475,139.534323
23252,戸部,35.456748,139.619534
23253,富水,35.296174,139.145553
23254,鳥浜,35.377173,139.641842
23255,中川,35.562681,139.570146
23256,仲木戸,35.477274,139.634393
29730,中強羅,35.248122,139.040593
29290,中田,35.411001,139.511657
23257,中野島,35.630117,139.550116
23258,仲町台,35.535184,139.589868
23259,中山,35.514768,139.539317
23260,長津田,35.531849,139.494598
23261,生麦,35.495272,139.667002
23262,並木北,35.372008,139.642759
23263,並木中央,35.365452,139.643009
23264,南部市場,35.380145,139.633148
23266,西鎌倉,35.319427,139.504384
23267,西谷,35.478023,139.565205
23268,西横浜,35.453526,139.608591
23265,新羽,35.527407,139.612088
23269,二宮,35.298758,139.257794
29482,日本大通り,35.446861,139.642367
23270,根岸,35.41578,139.635063
23271,根府川,35.202712,139.138503
23272,能見台,35.360841,139.629456
23273,野島公園,35.330567,139.631567
23275,登戸,35.620757,139.569892
23278,白楽,35.489689,139.627894
23279,箱根板橋,35.245207,139.145223
23280,箱根湯本,35.233485,139.103727
23281,橋本,35.594895,139.34433
23282,長谷,35.311318,139.536076
23283,秦野,35.370112,139.225878
23276,八景島,35.3409,139.640816
23277,八丁畷,35.522992,139.691387
23284,浜川崎,35.51041,139.713497
23285,早川,35.239068,139.14539
23286,原当麻,35.529097,139.375246
29505,はるひ野,35.618784,139.464596
29481,馬車道,35.450249,139.635979
23287,番田,35.545345,139.362941
23288,阪東橋,35.437638,139.625313
23289,東神奈川,35.477885,139.633339
23290,東逗子,35.298653,139.601127
23291,東戸塚,35.430472,139.556763
23292,東白楽,35.483189,139.629561
23293,東門前,35.536602,139.734327
23294,東山北,35.357694,139.107832
29632,東山田,35.554071,139.604865
23295,東林間,35.520488,139.438909
23296,日ノ出町,35.445583,139.62684
23297,日吉,35.553043,139.646778
29634,日吉本町,35.549905,139.633474
23298,平塚,35.327896,139.350591
23299,平沼橋,35.459886,139.616535
23300,平間,35.561016,139.671053
23301,屏風浦,35.394587,139.610205
23302,福浦,35.349621,139.648538
23303,藤が丘,35.543571,139.5279
23304,藤沢,35.338841,139.487329
23305,藤沢本町,35.34798,139.476274
23306,藤野,35.615862,139.152539
23307,富士フイルム前,35.317809,139.109444
23308,富士見町,35.345258,139.529298
23309,二子新地,35.607121,139.622417
23310,二俣川,35.463301,139.532041
23311,淵野辺,35.56876,139.395076
23312,逸見,35.280656,139.652846
23313,弁天橋,35.495967,139.689777
23314,星川,35.458052,139.59537
23315,螢田,35.284981,139.151999
23316,保土ケ谷,35.446721,139.59962
23317,堀ノ内,35.263131,139.686927
23318,本厚木,35.439357,139.364307
23319,本鵠沼,35.331064,139.475303
23320,本郷台,35.367423,139.550295
23321,舞岡,35.40253,139.551515
23322,蒔田,35.430195,139.610482
23323,松田,35.346863,139.137414
23324,真鶴,35.156771,139.132505
23325,馬堀海岸,35.259493,139.707898
23326,三浦海岸,35.18836,139.653433
23327,三崎口,35.17825,139.633296
23328,溝の口,35.599843,139.610529
23329,三ツ境,35.467661,139.502656
23330,三ツ沢上町,35.476579,139.605424
23331,三ツ沢下町,35.476579,139.615424
23332,緑町,35.259122,139.158638
23333,港町,35.534964,139.712885
29480,みなとみらい,35.457971,139.632368
23334,南太田,35.436889,139.613453
23335,南橋本,35.580147,139.35251
23336,南万騎が原,35.452469,139.526487
23337,南林間,35.495713,139.448019
23338,宮崎台,35.587317,139.591365
23339,宮ノ下,35.242012,139.062952
23340,宮前平,35.584928,139.581921
23341,宮山,35.38228,139.379725
23342,妙蓮寺,35.498465,139.633171
23343,向河原,35.572903,139.667276
23344,向ケ丘遊園,35.617536,139.564838
23345,武蔵小杉,35.575736,139.659665
23346,武蔵白石,35.501689,139.705832
23347,武蔵新城,35.587234,139.629695
23348,武蔵中原,35.581124,139.641471
23349,武蔵溝ノ口,35.59901,139.611223
23350,六会日大前,35.383558,139.470828
23351,六浦,35.322679,139.611514
23352,目白山下,35.314122,139.491524
23353,元住吉,35.564292,139.654028
29483,元町・中華街,35.442417,139.650422
23354,谷峨,35.36547,139.038532
23355,矢向,35.538907,139.680442
23356,柳小路,35.327343,139.485219
23357,矢部,35.573065,139.386771
23358,山北,35.360666,139.08039
23359,山手,35.427446,139.6462
23360,大和,35.469688,139.461409
23361,弥生台,35.429721,139.506712
23362,由比ケ浜,35.312817,139.54152
23363,湯河原,35.145939,139.102203
29256,ゆめが丘,35.405613,139.482382
23364,百合ケ丘,35.609007,139.516176
23365,洋光台,35.378728,139.596707
23366,横須賀,35.284101,139.655901
23367,横須賀中央,35.27849,139.67065
23368,横浜,35.46547,139.621257
23369,吉野町,35.435416,139.618897
23370,読売ランド前,35.614729,139.528202
23371,緑園都市,35.439137,139.521571
23274,ＹＲＰ野比,35.212636,139.685318
23372,若葉台,35.619228,139.472568
23373,和田河原,35.316004,139.118111
23374,和田塚,35.313595,139.545325
23375,和田町,35.463803,139.586593
